word,frequency
AR,134
哥们,115
back,63
押韵,56
刘夫阳,51
pull,50
na,48
军火库,41
感觉,35
说唱,35
hits,34
Rap,33
020,33
man,32
ay,32
Verse,31
Chorus,31
标价,31
brand,30
carry,30
Rapper,29
luv,28
害臊,26
All,25
Hip,23
Hop,23
Baby,23
兄弟,20
flow,19
看着,18
rap,18
耐心,17
real,17
这是,17
像是,17
Flow,16
啪啪,16
时间,15
stand,15
year,15
good,15
喜欢,14
希望,14
Studio,14
girl,14
专辑,13
Pop,13
音乐,12
随便,12
广州,12
回到,12
首歌,12
我要,12
啊啊啊,12
真的,11
hater,11
伴奏,11
money,11
Ay,11
只能,11
Man,11
说话,10
声音,10
wanna,10
唯一,10
talk,10
没法,10
老师,10
毕业,10
talkin,10
哈哈哈,10
blah,10
听到,10
直火帮,10
hard,10
Blocka,10
母带,9
明星,9
Battle,9
diss,9
patience,9
Party,9
手里,9
My,9
dog,9
Year,9
Dog,9
方式,9
show,9
始终,9
line,9
节奏,8
不想,8
school,8
精气神,8
cool,8
嘴里,8
Newtonmethod,8
lose,8
生活,8
