word,frequency
长沙,157
BLOCK,99
兄弟,85
Pen,66
喜欢,60
刘聪,60
jump,60
KEY,57
码子,57
GIRL,51
生活,48
KungFu,46
施逸凡,46
baby,44
音乐,43
我会,42
人生,42
梦想,41
世界,40
燃烧,39
功夫胖,38
七里,37
八里,37
想要,37
老道,36
Money,36
真的,35
时间,35
Key,35
生命,34
希望,33
girl,32
像是,32
唯一,32
kill,32
晓得,29
街头,29
FAT,29
回到,28
DamnShine,28
自由,28
哥们,28
不想,27
不用,26
江湖,26
城市,25
记得,25
感觉,25
大傻,25
醒来,25
在乎,25
盛宇,25
塞满,25
鞋盒,25
身边,24
MY,24
mama,24
Air,24
Force,24
变得,23
声音,23
My,23
也许,23
black,23
Kungfu,23
yeah,23
歌词,22
告诉,22
一点,22
拳头,22
三千里,22
地方,21
遇见,21
我要,21
明天,21
money,21
hero,21
有人,20
man,20
听到,20
一路,20
快点,20
明白,20
星星,20
妈妈,19
love,19
穿过,19
未来,19
正宗,19
绿林好汉,19
玩点,19
Hey,18
地球,18
champion,18
路上,18
Dear,18
井底之蛙,18
monster,18
艺术家,18
一群,18
