word,frequency
sandwich,71
hallo,34
story,27
talk,26
Flame,24
We,21
CREAM,20
God,18
Turn,18
face,18
My,16
But,16
baby,14
gotta,13
love,13
quick,12
bless,12
lit,12
hum,12
berry,12
So,11
trick,10
Cream,10
Feed,10
Hallo,10
音乐,9
Shawty,9
rain,9
tricky,9
homies,8
Say,8
fakes,8
lord,7
wanna,7
real,7
Call,6
希望,6
Oh,6
距离,6
trust,6
touch,6
heart,6
iphone7,6
iphone,6
Doesnt,6
真的,6
fakers,6
She,6
loved,6
撒浪嘿,6
不屑一顾,6
伤悲,6
不想,6
戳破,6
bad,6
make,6
sweet,6
力量,5
出品,5
发行,5
enemy,5
ya,5
Let,5
feel,5
骄纵,5
骄傲,5
骄躁,5
enemies,5
高尚,5
高调,5
高效,5
Hold,5
hold,5
dont,5
也许,5
Who,5
有人,5
This,4
song,4
第四,4
fake,4
生活,4
灵感,4
从来不,4
上帝,4
woo,4
watch,4
work,4
世界,4
永远,4
Nobody,4
离不开,4
KillaPhone,4
wow,4
固执,4
到此为止,4
心痛,4
耳边,4
wanted,4
If,4
