word,frequency
Cee,266
style,138
na,87
AR,85
Nod,84
Now,76
IKIRI,68
Lu1,62
对号入座,49
带你去,48
Turn,46
Don,45
radio,45
上海,43
yeah,42
再也不能,41
母带,41
OG,41
All,38
时间,38
flow,38
感觉,37
talk,36
ya,35
财运,34
滚滚,34
Verse,33
想要,32
stop,32
We,32
不用,31
beat,31
哪一天,31
Come,31
back,30
love,28
艺术,28
喜欢,28
Dizkar,27
依旧,26
Shout,26
丁丁,26
有人,24
歌词,24
em,24
留下,24
世界,23
男孩,23
stick,23
MAJOR,23
YAO,23
下定,22
So,22
Got,22
只能,21
Produced,21
make,21
ai,21
态度,20
韵脚,20
地方,20
一点,20
drop,20
time,20
tat,20
灵魂,19
Hiphop,19
Arranged,19
节奏,19
Mixed,19
回到,19
白天,19
不亮,19
时而,19
天生,19
sacrifice,19
Take,18
像是,18
依然,18
回忆,18
说唱,18
Major,18
life,18
Dogg,18
纯正,17
put,17
决心,17
ain,17
Hook,17
Let,17
Keyso,17
call,17
party,17
standing,17
习惯,16
也许,16
show,16
深夜,16
一场,16
But,16
