word,frequency
老子,156
GAI,136
老道,81
la,77
豁得,70
包间,67
老板,67
thing,66
周延,65
Every,60
啥子,52
pain,49
gain,49
万岁,40
没得,39
想要,38
英雄,38
人生,36
世界,35
选择,32
庞宽,32
兄弟,31
不到,29
真的,28
肯定,27
吃饭,27
成功,27
身上,26
Gai,24
好多钱,24
ay,24
不想,23
母带,23
好运来,23
东西,22
小武,21
好运,21
万里长城,20
大人物,20
反正,19
江湖,19
代表,18
生活,18
游戏,18
师兄,18
自由,18
晓得,17
告诉,17
变得,17
长城,17
中信,17
咋个,17
盖世英雄,17
红旗车,17
轻松,16
害怕,16
录音,16
街上,16
Big,16
bro,16
好多,15
祈祷,15
滔滔,15
几儿,15
婆娘,14
一圈,14
别个,14
彩虹,14
本来,14
出品,14
规格,13
天地间,13
节奏,13
时光,13
不好,13
小心,13
Door,13
欲望,13
中华,13
发现,13
悲伤,13
依然,13
麻木,13
跟风,13
我要,13
歌曲,13
Live,13
见字,13
如面,13
青山,12
有人,12
Rainbow,12
嘿实,12
猜得到,12
法网恢恢,12
疏而不漏,12
万里,12
咋子,12
微光,12
我化羽,12
