word,frequency
恭喜,111
mine,98
wanna,93
My,80
马思唯,68
rich,68
kill,64
dab,60
yeah,55
love,55
room,54
We,50
Oh,47
Higher,46
Don,44
Zhen,44
Ding,44
money,42
身边,42
She,42
Baby,41
发财,40
gang,38
ain,38
兄弟,37
Mr,35
Chanel,35
boy,34
打开,34
night,33
Can,33
Hey,33
Masiwei,32
witch,31
Yahh,30
Just,30
Money,30
时间,29
ay,29
door,29
Enjoy,29
make,28
wrong,28
蘑菇,26
uh,26
time,25
zombie,25
Ride,25
不用,24
我会,24
想要,24
All,24
rob,24
vibe,23
chance,23
朋友,23
baby,23
girl,23
face,23
Ma,23
生活,22
害怕,22
Brothers,22
微信,22
塞进,21
dance,21
Hook,21
call,21
da,21
long,21
大陆,21
open,21
Da,21
地方,20
play,20
名牌,20
世界,20
good,20
jump,20
俊逸,19
number,19
feel,19
Know,19
cash,19
Need,19
Psy,18
higher,18
Franklin,18
音乐,18
Rules,18
功成名就,18
SiWei,18
郫县,18
born,18
丁震,17
The,17
Yeah,17
离开,17
talking,17
When,17
