word,frequency
ICE,79
满杰,46
Babycloth,43
No,42
yeah,41
YE,40
Buena,38
解药,36
Vida,36
baby,31
聪明,29
ye,27
不太,27
feeling,26
paint,26
worry,25
KNOW,24
YA,24
WEI,24
fall,24
love,24
真的,23
DON,23
EI,23
时间,21
life,20
内心,19
音乐,18
感觉,17
投屏,16
视线,16
电视,16
runaway,16
生活,16
未来,16
wow,16
像是,16
wake,16
red,16
yesterday,16
SIZE,15
Yeah,14
feel,14
喜欢,14
ei,14
视频,13
永远,13
YOU,13
录音,13
COLD,13
告诉,12
call,12
邢铜,12
babe,12
da,12
想要,11
努力,11
WHY,11
THEY,11
HATE,11
ME,11
昨天,11
享受,10
双眼,10
vivo,10
Hook,10
heard,10
拒绝,10
MY,10
证明,10
cooking,10
感谢,10
night,10
ATYANG,10
手机,9
real,9
选择,9
讨厌,9
不用,9
现实,9
感到,9
强大,9
BEAUTY,9
世界,9
HOLD,9
没什么,9
看着,9
最强,9
FEEL,9
我能,9
实际上,9
区别,9
模糊,9
耳朵,9
捕捉,9
屏幕,8
随意,8
控制,8
身体,8
独特,8
