word,frequency
Ice,221
Paper,218
love,41
caught,37
time,32
时间,30
想要,27
feel,27
有人,26
豆浆,26
真的,25
star,25
变得,24
一个样,23
不停,22
flow,22
Trouble,22
Howcy,21
break,21
油条,20
世界,19
跟着,19
像是,19
Lil,18
money,18
天空,18
生活,17
光光,17
Somebody,16
die,16
就让,16
god,16
Hook,16
玛利亚,16
感受,15
音乐,15
喜欢,15
一杯,15
采样,14
不用,14
时刻,14
give,14
Round,14
Mc,14
身边,13
担心,13
依然,13
bro,13
方向,13
自由,13
记得,13
mind,12
选择,12
希望,12
call,12
事情,12
只能,12
Please,12
sky,12
night,12
太过,11
依旧,11
早安,11
BigYear,11
大年,11
But,10
体验,10
现实,10
好像,10
面对,10
故事,10
day,10
Free,10
da,10
路上,10
永远,10
几个,10
不想,10
我要,10
忘记,10
make,9
红色,9
Kc,9
冰冷,9
wanna,9
朋友,9
回到,9
此刻,9
燃烧,9
rush,9
Out,9
挽留,9
blue,9
floor,9
moon,9
生命,9
太阳,9
节奏,9
江湖,9
特别,9
