word,frequency
Jony,64
想要,53
不想,50
离开,50
HOOD,46
真的,36
嘀嗒,33
不用,33
man,28
喜欢,28
生活,28
郭子敬,28
世界,27
JONY,27
发现,27
講者,24
邊個,24
时间,23
身边,21
现实,21
home,21
停下来,19
有人,18
慢慢来,18
信仰,17
ye,16
上帝,16
选择,16
那种,16
剧本,16
feel,16
Home,16
宫阁,16
迷宫,16
变得,15
人生,15
宿命,15
几个,15
看着,14
夜里,14
列车,14
早就,14
母带,14
im,14
像是,13
baby,13
留下,13
一路上,13
未来,13
录音,13
Let,13
talk,13
day,12
梦想,12
音乐,12
Peach,12
看得见,12
打开,11
希望,11
梦里,11
想起,11
时光,11
迷失,11
wanna,10
改变,10
越来越,10
没人,10
喝醉,10
只会,10
特别,10
一步,10
找到,9
好像,9
没法,9
惊醒,9
永远,9
WORK,9
无奈,9
混圈,9
yeah,9
干嘛,9
有种人,9
分不清,9
关心,8
有时候,8
身份,8
天堂,8
大门,8
不幸,8
电话,8
面对,8
只能,8
一路,8
loser,8
麻烦,8
欲望,8
我会,8
跟着,8
lie,8
hide,8
