word,frequency
Know,29
特别,15
da,14
夯实,11
Baby,8
yeah,8
Cause,7
album,6
面对,6
阳光,6
照进,6
窗前,6
醒来,6
发现,6
一堆,6
事要,6
拜托,6
祈祷,6
money,5
银行卡,5
PSY,5
Wu,4
enjoy,4
享受,4
兄弟,4
hand,4
十二月,4
im,3
baby,3
ceo,3
boy,3
老板,3
房间,3
放在,3
余额,3
眼光,3
档次,3
两百万,3
爸妈,3
房子,3
全款,3
钱装,3
箱子,3
超都,3
我发,3
不停,3
银行,3
husband,3
Iron,3
Man,3
love,3
thousand,3
chance,3
Straight,3
Hollywood,3
movie,3
Do,3
样子,3
丰收,3
季节,3
潇洒,3
皮鞋,3
老子,3
爸爸,3
twenty,3
赚钱,3
Peter,3
shit,3
ei,3
cap,2
Mr,2
Im,2
浮夸,2
lil,2
pump,2
10w,2
打进,2
互动,2
随时随地,2
失踪,2
信号,2
更新,2
自动,2
电信,2
联通,2
b7,2
3phone,2
等待,2
生活,2
rich,2
sir,2
金钱,2
mr,2
不想,2
心情,2
好像,2
blue,2
睡觉,2
眼泪,2
404,2
