word,frequency
MC,135
生活,119
想要,117
热狗,93
Hip,79
Party,77
真的,64
人生,62
哪裡,57
大风,57
Up,53
Merry,52
拍手,51
就让,49
HotDog,47
Christmas,47
世界,46
记得,45
Come,45
兄弟,45
hop,45
有型,43
没规矩,43
派对,42
时间,41
party,41
ROLLING,40
早就,40
流星,40
不想,39
high,39
Hotdog,39
After,39
像是,38
ed,38
感觉,37
无聊,37
代表,36
Hop,35
未来,35
放荡,35
永远,34
早餐,34
我要,33
两个,33
一场,33
希望,32
饶舌,32
姚中仁,32
离开,32
不到,31
改变,31
好像,30
High,30
音乐,29
我来,29
Oh,29
有钱,28
一只,28
Do,28
The,28
张震岳,28
在我心中,28
拍个,28
ghetto,28
有种,27
干嘛,27
女孩,27
一堆,26
快乐,26
night,26
rap,25
我家,25
朋友,24
Yeah,24
remember,24
回家,23
我們,23
金币,23
母老虎,22
只能,22
讨厌,22
鲁蛇,22
Taxi,22
冷嘲热讽,22
信念,22
妈妈,21
Ho,21
ya,21
想念,21
故事,21
嘴巴,21
梦幻,21
不吃,21
关系,20
烦恼,20
KEEP,20
追随,20
跟着,20
节奏,20
