word,frequency
da,165
光光,141
im,123
真的,114
baby,106
wanna,94
Mc,82
想要,81
dont,79
dat,78
money,76
night,67
make,65
像是,65
haters,64
girl,63
care,60
luv,58
世界,56
doo,56
ya,55
feel,54
party,54
time,53
时间,52
Hustle,49
top,49
看着,47
不想,47
hiphop,47
game,45
喜欢,44
day,44
give,42
life,42
yeah,41
radio,40
不停,39
crazy,38
run,38
好多,38
morning,38
ur,37
real,37
一点,37
goin,37
x2,36
生活,35
喷子,33
damn,32
那种,31
夜里,31
mind,31
hot,31
trippin,31
hey,30
gonna,30
show,30
出发,30
westside,30
Do,30
In,30
身边,29
希望,29
心痛,29
机会,28
find,28
city,28
gotta,27
此刻,27
心跳,27
rapper,27
麻烦,27
哥们,26
回到,26
唯一,26
永远,26
dream,26
梦里,26
面对,26
light,26
小雨,26
反正,25
wut,25
打败,25
生命,25
妹子,25
寻找,25
runnin,24
忘记,23
音乐,23
man,23
长大,23
不用,23
呼吸,23
sky,23
swag,23
bling,23
承认,22
只想,22
