word,frequency
NINEONE,118
So,47
Lazy,47
懒得,40
Come,40
make,38
baby,37
home,36
DBDBD,36
love,35
wanna,34
yeah,33
不想,31
back,31
night,31
We,29
夏天,29
Where,28
No,26
puma,25
一笔勾销,24
senbei,24
仙贝,24
Are,22
Oh,22
Capper,22
Producer,22
move,21
Life,20
Easy,20
母带,20
想要,19
ya,19
summer,19
传播,18
vibe,18
文化,18
da,18
To,17
dont,17
gotta,17
北京,17
有限公司,17
李宏杰,17
李俊,17
李智,17
公司,17
喜欢,16
lil137,16
inside,16
When,15
有人,15
录音,14
真的,14
Waiting,14
颜色,14
air,14
Lazyair,13
Get,13
anymore,13
crazy,13
执行,13
封面设计,13
Music,13
Your,12
Will,12
life,12
care,12
man,12
花生,12
像是,12
kill,12
可乐,12
有太多,12
killing,12
Close,11
学会,11
生活,11
从来不,11
Roktepux,11
Why,11
body,11
Miso,11
Production,11
Manager,11
总监制,11
Executive,11
999%,11
ei,11
lose,11
Eyes,10
这是,10
Hook,10
Time,10
不用,10
离开,10
沙发,10
boy,10
Love,10
不在乎,10
