word,frequency
PO8,106
城市,20
Yeah,18
时间,16
yeah,16
音乐,16
也许,16
Mountain,16
山鬼,16
告诉,15
母带,15
back,14
不想,14
妈妈,14
刚刚,13
real,12
Ima,12
带走,12
麻烦,12
灵魂,12
drinkin,12
习惯,11
ZENSOUL,11
慢慢,11
像是,10
ain,10
变得,10
想要,10
升空,10
生活,9
Huh,9
无所谓,9
eh,9
内心,9
Ya,9
bae,9
随便,9
登上,9
洛城,9
到达,9
房间,8
rapper,8
hold,8
gon,8
午夜,8
上帝,8
只能,8
Eh,8
da,8
窗边,8
Shout,8
X3,8
红玫瑰,8
飞机,8
几点,8
钞票,8
乐不思蜀,8
回到,7
学校,7
太多,7
自由,7
凌晨,7
世界,7
My,7
巴黎,7
时代,7
加州,7
无声,7
暴雪,7
孩子,6
过程,6
作品,6
风景,6
留下,6
We,6
Time,6
有人,6
那班,6
空车,6
grey,6
day,6
repay,6
冬天,6
不用,6
燃烧,6
诗人,6
东西,6
地下,6
won,6
pistol,6
多余,6
soul,6
刺痛,6
文字,6
moon,6
Willim,6
Trapped,6
desert,6
barely,6
Realize,6
