word,frequency
从南到北,63
Saber,53
也许,35
世界,33
梁维嘉,32
阮小七,32
真的,30
BJ,29
rapper,27
北京,24
看着,24
verse,21
时间,21
dont,21
兄弟,20
记得,19
首歌,19
结束,19
一步,19
hook,17
不想,17
City,17
永远,16
想起,16
da,16
刚刚,16
想要,16
依旧,15
害怕,14
力量,14
一路,14
Hook,14
From,14
Yah,14
再见,13
孩子,13
地牢,13
lady,13
东西,12
hiphop,12
城市,12
身边,12
Odd,12
real,12
每次,12
TACE,12
young,12
cry,12
理解,11
几个,11
变得,11
好像,11
人生,11
ma,11
故事,11
再也,10
一会儿,10
熟悉,10
希望,10
选择,10
越来越,10
孤独,10
努力,10
没人,10
Verse,10
身上,9
样子,9
第一次,9
离开,9
跟着,9
回到,9
早就,9
有人,9
终于,9
生活,9
说唱,9
Know,9
underground,9
梦想,8
放弃,8
留在,8
一半儿,8
Quaver,8
节奏,8
告诉,8
年轻,8
sleep,8
面对,8
眼泪,8
朋友,8
不在乎,8
fake,8
run,8
创造,8
随便,8
南宁,8
Yall,8
Already,8
cage,8
没落,8
