word,frequency
想要,116
人能,85
Tizzy,78
millie,61
Tic,56
留在,53
大一岁,41
时间,40
wanna,35
感觉,34
hate,31
身边,30
不用,28
Toc,28
想象,27
母带,27
害怕,25
拜托,25
tale,24
靠近,23
哥们,22
赚钱,22
不到,21
市中心,21
Turn,20
妈妈,19
朋友,19
喜欢,19
往前走,19
不在乎,19
面对,18
TT,18
回不去,18
一点,18
player,18
If,18
女孩,17
昨天,17
希望,17
记得,17
留下,17
game,16
姑娘,16
像是,15
Right,15
chill,15
忘记,14
失望,14
变得,14
toc,14
一场,14
学会,14
真的,14
未来,13
wo,13
兄弟,13
张璐,13
宝贝,13
世界,12
越来越,12
不想,12
带走,12
就让,12
终究,12
Fairy,12
fairy,12
Ballin,12
不停,11
家里,11
我会,11
发现,11
情绪,11
running,11
身价,10
告诉,10
一年,10
We,10
改变,10
干嘛,10
手表,9
成长,9
散发,9
永远,9
你别,9
房子,9
离开,9
角落,9
游戏,9
Doughboy,9
恩德,9
back,9
杨云翔,9
Catlien,9
冒险,9
Get,9
watching,9
throne,9
买个,8
错过,8
感谢,8
