word,frequency
Ty,149
棉毛衫,59
我爱你,48
永远,39
ey,39
朋友,36
Hook,34
感觉,32
邓典果,32
母带,32
我要,31
老板,31
Engineer,30
Studio,30
Mastering,30
我会,27
不该,24
拥抱,23
真的,23
成都,23
爱到,22
Chris,22
Gehringer,22
去过,21
Arrangement,20
Producer,20
Backing,20
Vocal,20
Recording,20
Mixing,20
录音室,20
瑞斯,20
本藤特,20
文化传媒,20
后期,20
秋裤,19
兄弟,19
不想,18
miss,18
side,18
有限责任,18
公司,18
喜欢,17
生活,17
一辈子,16
想要,16
看不惯,16
黄金,16
世界,15
瓜得,15
长大,14
用心,14
墨水,14
好多,14
回家,14
yeah,13
没读,13
爱情,13
锤子,13
李尔新,13
爸爸妈妈,13
睡不着,13
热情,12
看着,12
不错,12
无所谓,12
有空,12
swag,12
勾肩,12
受够了,12
要命,12
Verse2,11
眼睛,11
肯定,11
天空,11
金项链,11
像是,11
身体,11
开心,11
时间,10
爸爸,10
脑壳,10
啥子,10
有人,10
假装,10
不爱,10
编写,10
录音师,10
后期制作,10
工程师,10
Sterling,10
Sound,10
带刺,10
玫瑰,10
Verse1,9
baby,9
美丽,9
兴奋,9
内心,9
特别,9
