word,frequency
Double,107
shimmy,80
新衣,51
Studio,47
Ego,42
yo,39
毛衍,36
rain,36
朋友,35
想要,34
zone,34
Back,33
wanna,32
母带,31
生活,31
back,30
范儿,30
从来不,29
YA,28
floor,28
Yeah,27
Produced,27
Get,27
希望,26
Mixed,26
VAVA,25
Yes,25
Arranged,25
Queen,25
hiphop,25
腕儿,24
That,24
唧唧,24
Music,23
惊喜,23
敷衍,23
打扮,23
不想,23
watch,23
world,22
VaVa,22
精心,21
Be,21
girl,21
yeah,20
happy,20
OH,20
喜欢,19
Mastering,19
rainbow,19
不用,18
录音,18
一步,18
All,17
style,17
面对,17
window,17
bad,16
coming,16
life,16
世界,16
Vava,16
People,16
cover,15
friend,15
dream,15
Ohh,14
人生,14
工程师,14
Mastered,14
身体,14
烦恼,14
But,14
MOVE,14
woo,14
压力,13
骄傲,13
call,13
特别,13
悠哉,13
ur,13
身边,13
Yellow,12
心情,12
现实,12
不停,12
时间,12
经历,12
Rapstar,12
OK,12
Recorded,12
Shimmy,12
jump,12
眼神,12
Hook,12
lies,12
Rain,12
自信,11
期待,11
卡斯,11
