word,frequency
Yee,75
谢谢,54
兄弟,44
不想,40
希望,35
不用,32
有人,30
莫咯,29
长沙,28
歌词,27
wanna,27
也许,25
时间,24
run,24
孤独,23
想要,22
Maybe,21
说唱,19
节奏,19
我会,19
感觉,18
离开,18
状态,17
扶摇直上,17
像是,16
黑暗,16
真的,16
烦恼,16
淹没,16
特别,15
By,15
名声,14
留下,14
意别,14
一点,14
付出,14
慢慢,14
等待,14
看着,14
生活,14
老子,14
好像,13
困境,13
妈妈,13
选择,13
Mixed,13
牵着,13
经历,12
csc,12
办法,12
FLOW,12
云别,12
So,12
cried,12
听不见,12
Im,12
cry,12
脱离,12
声音,11
灵感,11
害怕,11
看清,11
依然,11
不到,11
天空,11
喜欢,11
舞台,10
说话,10
未来,10
眼睛,10
明白,10
yee,10
心上,10
街上,10
地方,10
朋友,10
现实,10
痛苦,10
回到,10
反正,10
喊救命,10
作品,9
再见,9
世界,9
简单,9
创造,9
眼神,9
呼吸,9
夜晚,9
一步,9
千万别,9
南边,9
一路,9
虚伪,9
晓得,9
多久,9
思念,9
love,9
记忆,9
抱歉,9
