word,frequency
刘柏辛,59
Lexie,47
Liu,44
riding,41
ain,39
Kenn,39
Wu,38
Manta,36
dripping,30
Engineer,26
gonna,24
war,24
合声,23
Femke,22
Weidema,22
ve,22
lil,22
yah,21
工程师,21
mind,21
sauce,20
fly,20
Oh,19
life,19
Take,19
water,18
When,17
night,16
crazy,16
stay,16
But,16
real,15
bad,15
Imma,15
世界,14
baby,14
hope,14
waiting,14
Mixing,14
Devilfish,14
hold,14
nada,14
Yeah,13
天生,13
Recording,13
time,13
母带,13
Call,13
strong,13
一路,12
won,12
make,12
thinking,12
唯一,12
Producer,12
mma,12
ride,12
back,12
ya,12
No,12
romancer,12
love,12
read,12
Blame,12
Got,11
脑海,11
wanna,11
wait,11
high,11
Arrangement,11
Programming,11
Vocals,11
录音,11
工作室,11
girls,11
Penrose,11
李荣浩,11
good,10
持续,10
温度,10
gotta,10
流淌,10
If,10
Why,10
Music,10
Jet,10
Chong,10
Randy,10
Merrill,10
eh,10
Good,10
Dripping,10
give,10
Stairs,10
yeah,9
Let,9
方向盘,9
guess,9
The,9
时间,9
