word,frequency
斗地主,107
KEY,84
扒皮,58
哥们,47
hey,39
Hook,35
寂寞,34
real,32
城市,30
长沙,28
兄弟,27
自由,26
BANG,25
kong,25
By,24
flow,24
ei,24
dont,24
宇宙,24
街头,23
不想,23
世界,23
摩托,23
醒来,22
想要,22
离开,22
生活,21
时间,21
不用,21
wow,21
啥子,20
没得,20
Mayday,20
Hadouken,19
哥哥,19
没法,18
逍遥,18
半吊子,18
人若,18
Verse,18
gotta,18
Beat,17
命运,17
lonely,17
yeah,17
妈妈,16
穿梭,16
二手,16
city,16
我要,15
wu,15
天灵灵,15
地灵,15
money,15
freestyle,15
音乐,14
梦想,14
一段,14
刘聪,14
乌托邦,14
beat,14
yi,14
ye,14
黄土,14
高坡,14
boo,14
说唱,13
像是,13
yo,13
经历,13
歪门邪道,13
homie,13
绿林好汉,13
CC731,13
快点,13
泡泡,13
hood,13
hiphop,12
港口,12
baby,12
辜负,12
感情,12
life,12
hunnid,12
走出,12
孩子,12
多咯,12
看着,11
窗外,11
cry,11
monica,11
身体,11
江山,10
hang,10
crew,10
朋友,10
DA,10
也许,10
燃烧,10
几个,10
