word,frequency
功夫胖,50
KungFuPen,42
筋斗云,39
月亮,35
太阳,33
Ay,32
兄弟,30
升起,28
Feelin,26
Yung,26
Lit,26
Way,26
照常,26
世界,25
feeling,24
yung,24
lit,24
盛开,24
fly,24
简朴,24
音乐,22
想要,22
经历,22
踏上,21
记得,19
stop,19
一群,19
Like,18
躺椅,18
close,18
eyez,18
城市,17
井底之蛙,17
时间,16
百乐门,16
天空,16
boy,16
公里,16
风雨,16
小武,15
灵魂,15
离开,14
我会,14
希望,14
唯一,14
0731,14
也许,13
自由,13
慢慢,13
录音棚,13
battle,13
回到,12
看过,12
sync,12
studio,12
走起,12
soul,12
腾云驾雾,12
感觉,12
wanna,12
长大,12
太空,12
小船,12
变得,11
不想,11
发现,11
good,11
trip,11
开心,11
列车,11
KungFu,10
土地,10
看着,10
忘记,10
留下,10
说唱,10
真的,10
挑战,10
da,10
成长,10
水手,10
地球,10
No,10
goodtrip,10
东方,10
轨道,10
燃烧,9
永远,9
老道,9
海盗,9
船长,9
Pen,9
BLOCK,9
Can,9
送给,9
选择,9
宇宙,9
学会,9
故乡,9
停止,9
