word,frequency
南征北战,190
happy,114
哈伊,96
哦哦哦,96
We,87
NZBZ,84
快乐,84
baby,72
想要,66
时间,64
必败,62
呜呜,60
自由,58
世界,58
飞跃,56
wanna,53
Just,52
一级,50
等待,48
忍者,44
骄傲,43
寂寞,43
celebrate,43
想不通,43
微笑,40
燃烧,40
咿呀,40
棒棒,40
一声,39
Cos,38
天空,38
song,38
小狗,38
期待,37
力量,37
sing,37
life,37
胜利,36
再见,36
一闪,36
love,36
变得,35
身边,34
黑夜,33
一种,33
年轻,33
未来,33
生命,32
勇敢,32
点燃,32
我要,32
醒来,32
穿越,32
热血,31
悲伤,31
汀洋,29
辰龙,29
眼泪,29
沉默,29
信念,28
热情,28
拥抱,27
从前,27
照亮,27
也许,26
永远,26
彩虹,26
感觉,25
青春,25
迷失,25
一首,25
忘掉,25
回忆,25
无人,25
拥抱着,25
闪耀,24
之间,24
美丽,24
命运,24
起点,24
亮晶晶,24
理想,23
希望,23
伤痛,23
翅膀,23
大声,23
黎明,22
离开,22
疯狂,22
梦想,21
咆哮,21
放下,21
前方,21
极限,21
执着,21
尽情,21
寻找,21
坚定,21
依旧,21
gotta,21
