word,frequency
兄弟,81
小老弟,39
real,27
人生,23
说唱,22
盛宇,21
黄河,21
blood,21
伴片,21
rapper,20
更上一层楼,20
family,20
大傻,18
DamnShine,16
风吹草动,16
拿来,16
我要,14
流淌,13
EH,13
Damnshine,12
长河,12
把酒,12
当歌,12
长江,12
recognize,12
One,11
不想,11
真的,11
天生,11
血液,11
不用,10
有人,10
也许,10
老道,10
名人堂,10
世界,10
牛得,10
想要,9
周延,9
只能,9
要伴,9
感觉,8
一身,8
精神,8
哥们,8
GAI,8
躁动,8
若不衣,8
还乡,8
几个,7
球星,7
街上,7
老子,7
Hook,7
good,7
bye,7
现实,6
计划,6
这场,6
江湖,6
CROSS,6
OVER,6
CRO,6
CROSSOVER,6
和样,6
传递,6
能量,6
东西,6
一场,6
告诉,6
808,6
障碍,6
不在意,6
理会,6
体会,6
没人,6
老板,6
多长,6
别跟我,5
一条,5
love,5
一点,5
喜欢,5
长得,5
见天,5
众生,5
害怕,5
面对,5
功夫,5
肯定,5
所有人,5
伙计,5
大地,5
耳边,5
天堂,5
槟榔,5
英雄,5
举棋不定,5
白日,5
依山,5
