word,frequency
Robaholic,109
泥鳅,71
safe,60
house,49
Zinco,41
时间,33
da,31
想要,28
别动,24
真的,23
shock,23
不停,22
世界,22
生活,20
像是,20
兄弟,20
故事,19
love,18
cash,18
real,17
finger,16
离开,15
晃荡,15
说唱,14
hiphop,14
地方,13
终于,13
身边,13
不到,13
讨论,13
chill,13
No,13
早已,12
也许,12
朋友,12
Doubt,12
月光,11
yeah,11
忘记,11
wanna,11
感觉,11
真实,11
唯一,11
不想,11
牛仔,11
东西,10
Verse,10
我会,10
一点,10
swag,10
flow,10
安全着陆,10
告诉,10
选择,10
灵感,10
孩子,10
讨厌,10
成功,10
ERIOE,10
im,10
verse1,9
事情,9
看着,9
首歌,9
我要,9
希望,9
我命,9
不用,9
夜晚,9
眼睛,9
一年,9
chop,9
hustle,9
一颗,9
lady,9
kiss,9
soldier,9
周折,9
孤独,8
tik,8
tok,8
街上,8
自由,8
party,8
球鞋,8
感到,8
回忆,8
解救,8
hook,8
战士,8
提醒,8
people,8
身体,8
固执,8
轻易,8
随便,8
rapper,8
信仰,8
sh1t,8
Erioe,8
