word,frequency
无聊,27
M80,20
真的,18
宋岳庭,14
Virginia,13
告诉,12
痛苦,11
日子,11
Life,11
事情,10
面对,10
struggle,10
烦恼,9
入睡,9
我过,9
一遍,8
love,8
品尝,8
喜怒哀乐,8
数不尽,8
troubles,8
Everyday,8
im,8
想什,7
不想,7
baby,7
孩子,7
世界,7
生命,7
yeah,7
一场,6
不用,6
就让,6
yo,6
彷佛,5
脑筋,5
放弃,5
醒来,5
挽回,5
人生,5
自由,5
时常,5
只能,5
feel,5
back,5
记得,5
生活,5
说话,5
wanna,5
脑海,4
天空,4
眼睛,4
结束,4
明知,4
意义,4
转向,4
留恋,4
反复,4
画面,4
上映,4
苦辣,4
酸甜,4
场面,4
感情,4
消失,4
当作,4
恶梦,4
一切都是,4
回头,4
打翻,4
困苦,4
沉醉,4
何不,4
WU,4
难过,4
放下,4
至少,4
Lately,4
Baby,4
等待,4
感觉,4
看不到,4
之中,4
天知道,4
上帝,4
tonight,4
回家,4
喜欢,4
讨厌,4
声音,4
有时候,4
星期一,4
星期二,4
星期三,4
星期四,4
星期五,4
星期六,4
星期天,4
没事,4
机会,4
