word,frequency
money,70
WE,64
AR,61
宝石Gem,39
buy,38
YI,31
YEAH,31
宝石,29
城市,29
bye,28
忘记,24
wuwu,24
老舅,22
右边,22
左边,22
看点,22
想要,20
回家,19
时代,19
角落,18
一夜,18
让路,18
Money,17
fall,16
AEI,16
好像,15
gem,15
两个,15
一路,15
生命,15
自由,15
na,15
光芒,15
生活,15
世界,14
永远,14
ay,14
全场,14
散发,14
看得见,14
感谢,14
yeah,13
一点,13
尽情,13
事儿,13
双手,13
改变,13
Yeah,13
兰博,13
故事,12
留下,12
时间,12
感觉,12
看着,12
飒娱,12
画个,12
老铁,12
梦想,12
THE,12
CITY,12
不用,11
不想,11
蹦迪,11
彩虹,11
ya,11
爱情,10
一瓶,10
路易,10
兄弟,10
这是,10
一杯,10
一部,10
灯光,10
往前,10
教会,10
吾人,10
Yah,10
young,10
不停,10
路上,10
开心,10
眼泪,9
一瞬间,9
早已,9
亲爱,9
陈泯西,9
年轻,9
成功,9
依然,9
期待,9
远方,9
拜个,9
咖啡,9
黑色,8
真的,8
坐在,8
明天,8
说话,8
就让,8
随风,8
