word,frequency
小老虎,131
屁股,75
hey,60
鸵鸟,58
一只,57
灵魂,54
说唱,44
爱情,42
Check,38
万物,35
价格,33
有人,32
地方,31
世界,30
想要,28
耳朵,28
终于,28
声音,27
疯狂,27
我要,27
朋友,26
Soul,26
嘴里,25
喜欢,25
街头,25
一根,24
舌头,24
离开,24
呼吸,24
Speak,24
眼睛,23
也许,23
河上,23
荒唐,23
孤独,23
这是,22
来到,22
失重,21
一条,21
爱到,21
死去活来,21
不到,21
身上,21
变得,21
不想,20
身体,20
刚刚,20
女人,20
明天,20
城市,20
放个,20
碰上,20
真的,19
地球,19
再见,19
北京,19
世上,18
沉默,18
爱上,18
共度,18
一张,18
年轻,18
sugar,18
一口,18
老虎,18
啪啪,18
真实,17
发现,17
和尚,17
黄金,17
习惯,17
一杯,17
音乐,17
子弹,17
男人,16
搜索,16
抓住,16
海上,16
流水,16
出生入死,16
光里,16
女士,16
麦克,16
check,16
时间,15
地面,15
生活,15
尽头,15
像是,15
忧愁,15
余生,15
ice,15
脸上,15
不用,15
一头,15
嘘嘘,15
享受,15
一种,14
打开,14
重复,14
