word,frequency
小青龙,69
Happy,55
New,54
Year,54
Every,48
body,48
时间,39
我要,36
future,36
烦恼,35
我会,34
想要,29
apos,26
生活,25
环游世界,24
担心,22
音乐,21
未来,20
兄弟,18
世界,18
美丽,16
勇敢,16
最佳,15
老子,15
告诉,15
录音棚,15
衣服,15
声音,14
度过,14
Holiday,14
选择,13
slow,13
脑壳,13
潇洒,12
一点,12
感受,12
Better,12
受累,12
故事,11
baby,11
风雨,11
明白,11
说唱,10
跟着,10
感觉,10
希望,10
随便,10
能者,10
庸者,10
绝不会,10
母带,10
把握,10
要少,10
写封信,10
填满,10
美好心愿,10
一步步,10
Lady,10
特别,9
party,9
记录,9
变得,9
努力,9
肯定,9
抬起,9
一堆,9
买个,9
包来,9
不想,8
忘记,8
行走,8
搭乘,8
录音,8
听到,8
relax,8
fantasy,8
对白,8
不需,8
pay,8
妥协,8
缓过,8
神来,8
向前走,8
Holi,8
讨厌,7
身边,7
经历,7
停留,7
用心,7
晚上,7
快点,7
Call,7
飞机,7
眼里,7
新一代,7
Chris,7
Gehringer,7
丢掉,7
生命,7
学会,7
