word,frequency
Bridge,81
ELEVEN,57
八百,48
everyday,43
Lit,42
布瑞吉,40
内力,40
Nei,40
JO,36
正二,36
妈妈,34
yuh,33
想要,32
Hook,31
包包,27
Money,26
兄弟,25
买个,25
Hustler,24
99%,24
雾都,22
Young,22
一模一样,22
Fake,22
发笔,21
横财,21
没得,20
必野,20
肯定,19
老子,19
dat,18
Wi,18
Fi,18
补习,18
感觉,17
GO,17
黄金屋,17
晓得,15
Verse,15
One,15
拍子,14
小心,14
Hustle,13
OG,13
Me,13
love,12
正二正,12
LanS,12
Durex,12
Play,12
一楼,12
太久,12
一分,12
Hunnid,12
On,11
真的,11
hurt,11
power,11
fall,10
重庆,10
In,10
RM,10
不想,10
喜欢,10
Walk,10
得意,10
学生,10
元气,10
Woops,10
借力,10
打力,10
borrow,10
beat,10
洗脚,9
说唱,9
GOSH,9
爸爸,9
water,9
Swim,9
cloud,9
洗衣机,9
金元宝,9
好厚,9
反正,8
撒子,8
心头,8
努力,8
Shawty,8
学校,8
turn,8
Call,8
Gucci,8
LanStory,8
Nice,8
账本,8
晚上,7
Rolly,7
HP,7
东西,7
希望,7
