word,frequency
生命,98
世界,77
回家,68
幼稚园杀手,59
快乐,59
城市,56
生活,56
孩子,55
爸爸,53
妈妈,52
孤独,45
遗忘,45
时间,44
告诉,42
也许,42
享受,35
忘记,35
听见,33
就让,33
窗帘,33
岁月,32
回到,31
面对,29
不用,29
永远,28
渴望,27
身边,27
眼睛,27
祝福,27
想要,26
长大,26
不到,26
记得,26
一首歌,26
现实,25
温暖,25
希望,25
街头,25
我会,23
喜欢,23
真的,23
故事,23
阳光,23
天使,23
来世,23
未来,22
见闻,22
都市,22
音乐,21
学会,20
思念,20
眼泪,20
回忆,20
送给,20
朋友,19
幸福,19
游戏,19
等待,19
父母,19
留下,18
这是,18
青春,18
心灵,18
街街,18
星星,18
想起,17
悲伤,17
找到,17
声音,17
日子,17
感觉,17
离开,17
理解,17
失败,17
微笑,16
寻找,16
安慰,16
害怕,16
天上,16
天空,16
年轻,16
只不过,16
一生,15
时光,15
记忆,15
幻想,15
一页,15
完美,15
街道,15
变得,15
放弃,15
很大,15
热爱,14
心中,14
梦想,14
痛苦,14
身影,14
家庭,14
遥远,14
地方,14
