word,frequency
徐真真,163
关系,96
开心,75
baby,73
ao,54
想要,43
一秒,42
ya,40
文化,38
Baby,37
传播,37
有限公司,37
Woo,37
Giao,37
金项链,36
东莞,34
真的,34
喜欢,33
音乐,32
peace,31
yeah,30
麦克,30
time,30
生活,29
首歌,29
时间,28
拍手,28
变得,27
They,27
北京,26
介绍,25
传递,25
今晚,24
不想,24
chain,24
good,24
Some,24
aye,24
diamond,24
呼吸,23
麦克风,22
身边,22
在家,22
boy,21
录音,21
有无,20
woo,20
太声,20
边度,19
状态,19
广州,19
发行,19
我要,18
Man,18
忘记,18
有天,18
抽根,18
不愿,18
Look,18
离开,17
Aye,17
世界,16
永远,16
桂城,16
yaee,16
多谢,16
Always,16
杨溢升,15
Vyan,15
fast,15
母带,15
love,15
da,15
再见,14
Hook,14
再也,14
我会,14
何柏诚,14
看轻,14
搞定,14
boyfriend,14
di,14
抄袭,14
life,13
调整,13
money,13
身体,13
慢慢,13
告诉,13
miss,13
地方,13
shining,12
We,12
花光,12
希望,12
自由,12
心碎,12
直说,12
当妮,12
friends,12
