word,frequency
斯威特,88
MCSWEET,53
hook,40
时间,32
妈妈,26
生活,26
孩子,25
城市,23
灰心,21
夏天,20
电话,20
家里,19
爸爸,19
长大,19
北京,18
不想,18
喜欢,17
看着,17
样子,17
想要,17
女孩,17
ghetto,17
打个,17
brige,16
希望,16
da,16
夜里,15
蝴蝶,15
几个,14
朋友,14
未来,14
筒子楼,14
离开,14
不用,14
Baby,14
sample,14
不到,14
采样,13
努力,13
说唱,13
故事,13
声音,13
好多,13
大学,13
忘记,13
明天,13
学会,13
小丑,13
特别,12
记忆,12
哥们,12
结束,12
变得,12
人生,12
Verse1,11
我会,11
假装,11
穿着,11
成功,11
音乐,11
歌词,11
hiphop,11
回到,11
父母,11
贫穷,11
欺负,11
原谅,11
手里,10
等待,10
真的,10
Verse2,10
见到,10
颜色,10
拼命,10
回来,10
难过,10
享受,10
感觉,10
街头,10
一张,10
别哭,10
老师,10
Yo,9
楼顶,9
儿子,9
阳光,9
留下,9
遇见,9
路上,9
Hook,9
快乐,9
学校,9
那年,9
考上,9
没人,9
作业,9
同学,9
挣钱,9
在乎,9
剩下,9
