word,frequency
李佳隆,117
wanna,47
不想,43
兄弟,42
特别,40
晓得,30
yeah,30
老子,28
囊个,26
陈令,26
mo,25
朋友,25
不用,22
love,21
监制,21
肯定,20
金城,20
Cut,20
真的,19
en,19
妈妈,18
Yeah,18
时间,18
SONIC,18
今晚,18
想要,17
hair,17
ain,15
But,15
FALL,15
我会,15
cry,15
man,14
world,14
bro,14
Tweak,14
Tone,14
Labs,14
奖励,14
随便,14
东西,13
back,13
每次,13
aye,13
像是,13
发现,13
世界,13
郑晓桐,13
月儿,13
面前,13
几个,12
ya,12
SUPER,12
Boy,12
Shes,12
berry,12
喜欢,11
Prod,11
微信,11
啥子,11
money,11
录音室,11
录音师,11
唱片,11
统筹,11
大恶恶,11
Recorded,11
也许,11
xx,11
stay,10
About,10
起飞,10
没得,10
We,10
音频编辑,10
Release,10
Date,10
不到,9
If,9
希望,9
变得,9
Jello,9
All,9
feel,9
母带,9
February,9
im,9
哈儿,8
Oh,8
记得,8
She,8
fault,8
gang,8
Shawty,8
生活,8
北京,8
peace,8
Hook,8
小莓,8
thinking,8
