word,frequency
King,60
杨和苏,53
KeyNG,51
die,51
陈令,44
Fight,36
金城,34
想要,33
不想,32
Don,32
Diss,31
song,25
Day,25
love,25
母带,24
监制,24
wow,24
Woken,24
真的,23
So,23
录音室,22
sleep,22
read,22
世界,21
We,21
boy,19
day,19
bow,19
死去活来,19
兄弟,18
fight,18
broken,18
ya,17
pain,17
录音师,16
希望,16
活死人,16
Studio,15
不用,15
gotta,15
everyday,15
Bow,14
king,14
变得,14
play,14
New,14
老子,13
梦想,13
口中,13
所说,13
thing,13
roll,13
投降,13
Walking,13
隆历奇,13
盛开,13
时间,12
音频编辑,12
Recorded,12
北京,12
一点,12
whack,12
快乐,12
Everybody,12
The,12
DOOR,12
MUSIC,12
mess,12
windows,12
Turn,12
Get,12
drunk,12
bar,12
forget,12
Ain,12
worry,12
bout,12
Not,12
wrong,12
Cuz,12
厂牌,12
福克斯,12
说唱,11
eh,11
法老,11
好像,11
Oh,11
real,11
这片,11
Wow,11
全员,11
合辑,11
treasure,11
见到,10
flow,10
生活,10
随便,10
办法,10
特别,10
我能,10
