word,frequency
法老,96
未来,65
head,52
Hardcore,50
Toe,49
Some,48
yeah,44
Huslter,42
世界,41
不停,34
burger,33
时间,31
上学,31
音乐,30
想要,30
la,30
我会,29
像是,28
说唱,28
god,28
生活,27
行凶,27
chees,27
我要,24
WI,24
FI,24
努力,23
Yoken,23
歌词,22
真的,21
不想,21
man,21
rap,19
录音,19
救援,19
身边,18
Hook,18
梦想,18
唯一,18
死亡,18
老子,18
dead,18
walking,18
杨秋儒,18
独行侠,18
兄弟,17
这是,17
rapper,17
What,17
几个,17
早已,16
hiphop,16
不见,16
fire,16
有人,15
感受,15
记得,15
黑暗,15
永远,15
小赤,15
对手,15
一种,14
回到,14
亲密,14
lady,14
录音室,14
没空,14
明白,13
父母,13
back,13
看着,13
我能,13
圈子,13
Oh,13
爱人,13
来临,13
flow,12
城市,12
感觉,12
离开,12
We,12
阳光,12
普照,12
褪去,12
感到,12
听见,12
BANG,12
发现,12
hook,12
亲爱,12
luv,12
Young,12
公司,12
AFSC,12
X3,12
活死人,12
法宝,12
丑陋,12
只会,11
告诉,11
