word,frequency
派克特,76
LOFIMAKER,48
ma,44
We,43
想要,43
PACT,40
Verse,36
Hook,35
饥饿,34
China,29
告诉,28
明白,28
shadow,28
世界,27
真的,25
ya,21
Know,21
时间,20
看着,18
town,17
mind,17
That,17
刘柄鑫,17
有人,16
Baby,16
stay,16
hungry,16
free,16
不想,15
回家,15
mother,15
做好,14
Ya,14
money,14
So,14
离开,14
张昊,14
唤醒,13
永远,13
答案,13
第一次,12
办法,12
就让,12
mommy,12
ALL,12
hard,11
所有人,11
boy,11
反正,11
选择,11
兄弟,10
希望,10
bad,10
But,10
不用,10
面对,10
Uh,10
loose,10
Oh,10
记得,9
忘记,9
night,9
黑夜,9
ur,9
发现,9
妈妈,9
改变,9
wrong,9
像是,9
Tell,9
浦西,9
x6,9
talk,9
人山,9
感谢,8
慢慢,8
机会,8
现实,8
终于,8
rider,8
Drive,8
style,8
早就,8
难过,8
失望,8
die,8
眼睛,8
Aya,8
多想,8
理解,8
OH,8
Flesh,8
flesh,8
Two,8
kind,8
won,8
survive,8
也许,8
fell,8
胜利,7
