word,frequency
满舒克,204
love,159
YJ,121
wanna,119
不想,107
feel,92
想要,91
My,89
荡漾,76
堡垒,74
之夜,73
OK,66
时间,63
感觉,61
zone,61
fallin,60
喜欢,59
da,58
VVS,54
lies,54
音乐,53
放风筝,53
像是,51
night,51
babe,51
na,48
homie,47
世界,45
baby,44
song,44
good,44
唯一,43
Like,42
FEEL,42
GOOD,42
kill,40
home,39
logo,39
眼神,37
What,37
错过,35
IT,35
告诉,34
coming,33
忘记,32
lonely,32
放电,32
兄弟,31
选择,31
享受,31
只想,31
未来,30
依旧,30
首歌,29
AR,29
不到,29
人生,29
yeah,29
活着,29
fall,29
Go,28
韵脚,28
怀疑,28
真的,28
只能,27
DON,27
孤单,27
离开,27
back,26
We,26
状态,26
缠绵,26
dance,25
等待,25
双手,25
呼吸,25
我要,25
柔软,25
一路,25
On,24
Let,24
微笑,24
简单,24
反弹,24
就让,24
无所谓,24
ring,24
Don,24
If,24
Turn,24
Fallin,24
Heart,23
大脑,23
睡不着,23
KWORLD,23
生活,22
努力,22
我会,22
灵感,22
感到,22
