word,frequency
王以太,68
时间,48
skrr,34
老子,33
艳阳天,31
说唱,30
man,27
王晓夫,27
PUMA,27
pray,25
想要,25
lords,25
feel,23
Engineer,23
Feel,22
lord,21
yea,21
road,20
三思而后行,20
hiphop,19
real,18
生活,18
我会,18
音乐,18
录音,18
Williams,18
韵脚,17
time,17
Craig,17
stay,16
母带,16
感觉,15
陈令,15
money,14
Mixing,14
人声,14
选择,13
flow,13
great,13
Producer,13
im,13
Studio,13
Mastering,13
别光,13
凑近,13
Say,13
努力,12
兄弟,12
微笑,12
真的,12
wrong,12
看着,12
Recording,12
Music,12
paper,12
希望,11
不想,11
改变,11
Vocal,11
Production,11
小武,11
身边,10
歌词,10
show,10
妈妈,10
态度,10
不用,10
胜利,10
AR,10
sing,10
监制,10
不在乎,10
slay,10
传播,10
现实,9
love,9
没人,9
gonna,9
girl,9
在意,9
有人,9
告诉,9
永远,9
Sync,9
Supervisor,9
IKIRI,9
意义,8
制造,8
懒惰,8
剩下,8
fall,8
pull,8
特别,8
等待,8
回忆,8
像是,8
麦克风,8
变得,8
拼命,8
世界,8
