word,frequency
Feezy,188
XZT,162
Zigga,103
直火帮,101
Hook,79
生活,77
Straight,65
Fire,64
Gang,64
我要,63
不想,61
想要,60
不用,50
告诉,49
wanna,49
But,45
倒时差,43
feel,42
说唱,40
兄弟,39
hate,39
师傅,38
cool,37
感觉,36
复明,36
偏门,36
转发,36
锦鲤,36
make,35
back,34
世界,34
希望,33
yeah,33
时间,32
变得,32
time,30
ain,29
wall,29
money,28
朋友,28
people,28
We,27
gotta,26
有人,26
母带,26
STAY,26
LOW,26
记得,25
真的,25
故事,24
If,24
rapper,24
SFG,24
这钱,24
Dollar,24
gon,23
女孩,23
加满,23
女人,22
good,22
late,22
real,21
All,21
day,21
So,21
看着,21
音乐,21
国王,21
Yeah,21
回家,21
MF,21
life,20
焦虑,20
听到,20
pop,20
东西,19
cuz,19
年轻,19
酒吧,19
Oh,19
努力,19
从来不,19
老板,19
cavalier,19
叔叔,19
我会,18
gonna,18
girl,18
love,18
歌词,18
好像,18
发现,18
你好,18
Let,17
不到,17
黑色,17
特别,17
至少,17
ve,17
专辑,17
