word,frequency
福克斯,161
bla,85
世界,40
不想,38
luv,36
What,30
兄弟,30
声音,30
XXLOKI,30
la,30
生活,27
监制,27
WarRonZ,26
follow,25
gonna,24
生命,23
郑晓桐,23
身边,21
刘志勇,20
人生,19
录音,19
之中,19
灵魂,18
面前,18
音乐,18
像是,18
面对,17
海力,17
Chorus,17
叶懿,16
电话,16
梦想,16
未来,16
选择,16
LOVE,16
城市,15
Hayrul,15
Verse1,15
Verse2,15
忽近,15
忽远,15
演奏,15
陈令,15
时而,14
Verse,14
感受,14
传来,14
废话,14
ba,14
金城,14
也许,13
靠近,13
隆历奇,13
依旧,13
母带,13
ZOE,13
经历,12
babe,12
这是,12
留下,12
YNC,12
录音室,12
江湖,12
一生,12
渐渐,12
命运,12
公司,12
无奈,11
双手,11
Yeah,11
等待,11
想要,11
不愿,11
充满,11
真实,11
跟着,11
不停,11
Tweak,11
Tone,11
Labs,11
音频编辑,11
勾勒,11
信仰,11
真理,11
开口,11
dream,11
发行,11
Say,10
感情,10
伴随,10
疲惫,10
依然,10
That,10
世间,10
举杯,10
痛饮,10
感觉,10
早已,10
所有人,10
某种,10
