word,frequency
艾热,156
真的,85
慢慢来,77
妈妈,63
AIR,62
悟空,60
We,55
此刻,50
新疆,47
卡斯,42
runnin,40
永远,38
想要,36
明白,35
唯一,35
讨厌,35
不想,34
杨云翔,32
世界,31
摘下,30
时间,28
港湾,27
音乐,26
学会,26
母带,26
懂得,25
quit,25
wind,24
我身,24
感谢,24
Battle,24
balls,24
欢乐,24
尴尬,24
兄弟,23
我会,23
day,22
哥们儿,21
Get,21
High,21
我要,20
未来,19
姐们儿,19
疯狂,18
办法,18
看着,18
aaaaaaaaaa,18
早就,17
bad,17
烦恼,17
星星,17
太阳,17
Blow,17
渴望,16
离开,16
录音,16
特别,16
当天,16
才们,16
那该,16
内心,15
habit,15
星空,15
焦兰,15
恩德,15
Andy18,15
足矣,15
反正,15
COIN,14
努力,14
忘记,14
Ziba,14
生活,14
拥有,14
担心,14
roling,14
骄傲,14
The,14
女孩,14
生存,14
earned,14
die,14
young,14
付出,13
想念,13
Yeah,13
放弃,13
告诉,13
乌云,13
怀疑,13
后期,13
只想,12
感受,12
家里,12
美丽,12
不在乎,12
脆弱,12
城市,12
爱是,12
家人,12
