word,frequency
艾福杰尼,62
跟上,59
真的,28
gang,28
Sorry,28
Ti,26
Amo,26
die,26
slash,24
Michael,21
顺德,20
feel,20
兄弟,20
Let,20
city,19
dance,19
That,18
play,17
till,17
Oh,16
音乐,16
选择,15
我要,14
side,14
online,14
母带,12
OK,12
内心,12
wanna,11
back,11
davvero,10
时间,10
慢慢,10
She,10
brothers,10
Pretty,10
west,10
开心,9
不想,9
有人,9
故事,9
喜欢,9
Cause,9
god,9
answered,9
不用,9
care,9
陈令,9
give,9
serve,9
My,8
城市,8
boys,8
played,8
afraid,8
dangerous,8
hard,8
世界,8
生活,8
make,8
不停,8
paradise,8
night,8
Till,8
后期,7
梦想,7
尝试,7
精彩,7
The,7
DMOB,7
感觉,7
eyes,7
简单,7
黄旭,7
Make,7
一点,7
2K,7
离开,6
永远,6
早就,6
baby,6
BooM,6
一座,6
money,6
沙漠,6
成功,6
good,6
Like,6
对手,6
背后,6
就让,6
告诉,6
久违,6
脚步声,6
ve,6
Every,6
希望,6
始终,6
Show,6
move,6
