word,frequency
遇见,80
梦想,62
一首歌,60
过程,59
喜欢,54
时间,46
音乐,45
烦恼,44
讨厌,42
恍惚,41
世界,41
醒醒,41
睡睡,39
不停,39
离开,38
想要,34
Yeah,34
经典,34
习惯,32
追逐,32
押韵,32
飞舞,31
杜振熙,30
最初,30
退出,30
回忆,29
不想,29
看着,28
What,28
從來,28
Ahh,28
Start,28
underground,28
眼神,27
回到,26
夜晚,26
赌兰,26
lookin,26
故事,25
代表,25
跟着,24
这是,24
生活,23
期待,23
错乱,23
烟雾弥漫,23
蛋堡,22
等待,21
迷幻,21
一切都是,20
围绕,20
停過,20
没法,19
不用,19
快乐,19
来到,19
感觉,18
偷偷,18
舒服,18
fun,18
拍案,18
胡乱,18
像是,17
回忆起,17
想起,17
有人,17
复制,16
房间,16
道理,16
没停,16
生命,15
忘不了,15
文字,15
hasn,15
changed,15
简单,14
转身,14
灵感,14
画面,14
小熊,14
收敛,13
听到,13
最难,13
一点,13
坠落,13
女人,13
停止,13
rhyme,13
漫游,13
微不足道,13
我金,13
轻松,12
那首歌,12
气氛,12
面对,12
不难,12
做人,12
移开,12
默认,12
散落,12
