word,frequency
西奥,67
生活,45
Let,45
Sio,44
Boring,44
朦胧,43
风动,42
不想,39
世界,38
像是,36
有人,35
ready,28
SIO,28
想要,26
回到,24
我要,24
老子,24
Hell,22
OH,22
看着,21
yeah,21
小瑜,21
时光,20
时间,19
girl,19
灵魂,18
记得,18
阿萨,18
电话,17
也许,17
感觉,17
希望,16
真的,16
从没,16
回忆,16
贵贱,16
手上,16
天地,16
Fight,16
糖果,16
害怕,15
说话,15
从来不,15
不停,15
good,15
着魔,15
真理,14
歌词,14
Me,14
瞳孔,14
扮演,14
告诉,14
离开,14
空中,14
man,14
鸟瞰,14
包装,14
诱惑,14
音乐,13
升起,13
一条,13
声音,13
自由,13
名字,13
嘴里,13
日子,13
从容,13
地狱,13
听见,12
欲望,12
带电,12
脸会变,12
角色,12
Sing,12
sing,12
那双,12
沿路,12
荆棘,12
划破,12
心底,12
翱翔,12
天际,12
王者,12
登基,12
love,12
梦想,11
脑子里,11
东西,11
黑暗,11
yo,11
依然,11
人生,11
打开,11
经历,11
wanna,11
冠军,11
变得,11
耳朵,11
指引,11
打破,11
