word,frequency
老子,322
谢帝,256
莫得,121
啥子,119
trap,112
money,102
logo,96
晓得,86
yeah,82
成都,78
票儿,72
See,72
感觉,70
ring,67
老板,65
堵起,61
真的,61
说唱,60
Ke,60
Li,60
Ma,60
Ca,60
不到,59
肯定,59
劳力士,57
lolo,56
BO,54
生意,54
rap,52
flow,51
好多钱,51
whoo,51
歌词,50
锤子,48
不想,47
SIMON,45
AR,45
CUS,45
音乐,44
朋友,41
好多,40
保佑,40
CEO,39
dirty,39
监制,38
Yeah,38
三折,38
独特,38
rich,37
life,37
wanna,37
脑壳,36
关系,36
稳当,36
Go,35
玻璃,35
double,35
上班,34
咋个,34
Young,33
Look,33
有莫得,33
HIT,33
歪货,33
像是,31
My,31
财神爷,31
BOSS,30
想要,29
不用,29
car,29
god,29
suck,29
eat,29
make,29
蔡镇,29
chigga,28
明天,28
惹不起,28
果断,28
下手,28
生活,27
快点,27
东西,26
Rap,26
rapper,26
兄弟,26
坝坝球,26
的哥,26
Money,25
跳舞,25
脏钱,25
时间,24
back,24
sway,24
So,24
cheap,24
统统,24
诡诈,24
耍掉,24
