word,frequency
IT,113
辛巴,103
WE,99
THE,85
TO,62
YOU,57
GO,56
BURN,54
MY,52
HALLO,52
UP,45
ME,45
COME,45
COWBOY,36
AR,32
SO,32
YAH,31
KNOW,31
MAKE,30
ATYANG,29
WAY,29
BABE,28
世界,27
Beautiful,27
想要,26
STAY,25
BACK,25
DOWN,25
LOFIMAKER,24
ON,24
STRAIGHT,24
HOME,24
时间,23
trust,22
ALL,22
FOR,22
AND,22
GET,22
BEATRICE,21
babe,20
离开,20
不想,19
HOLD,19
一路,18
依然,18
等待,18
CAN,18
经历,17
宇宙,17
LEVEL,17
ROCKMAN,17
MA,17
CLEAN,17
永远,16
希望,16
LIKE,16
DO,16
FRESH,16
FACE,16
FAKERS,16
SURPRISE,16
真的,15
故事,15
声音,15
WANNA,15
录音,15
FEEL,15
ABOUT,15
城市,14
选择,14
SAY,14
x2,13
不停,13
尘埃,13
未来,13
母带,13
合声,13
NO,13
GOTTA,13
WANT,13
OH,13
回到,12
生命,12
也许,12
听到,12
IN,12
ROMANTIC,12
王晓夫,12
LET,12
SHAKE,12
HUG,12
记得,11
写下,11
留下,11
STREET,11
害怕,11
孩子,11
天王,11
WON,11
ANYMORE,11
