word,frequency
那吾克热,163
man,117
NW,109
三百,73
EM,72
兄弟,72
白日梦,71
drink,70
real,68
时间,67
LIL,65
Be,62
Here,60
音乐,53
Oh,48
DK,46
身边,43
篮球,41
生活,39
爸爸,35
All,35
快乐,34
梦想,34
说唱,32
儿子,32
放弃,32
跑跑,32
疆要,32
傻瓜,31
娃娃,29
fellas,28
jump,28
ladies,27
做个,27
Hi,27
Duu,27
男子汉,27
back,27
King,26
文化,25
上海,25
变得,24
Ay,24
面对,24
内心,24
em,24
灵魂,24
年轻,24
新疆,24
Call,24
pass,23
放空,22
有限公司,22
过得,22
Merry,22
Christmas,22
梦响,21
传播,21
看着,21
DJ,21
改变,21
我要,21
fault,20
call,20
经历,20
Mr,20
dears,19
太快,19
定义,19
祝福,19
ICE,19
love,19
回到,18
We,18
swaging,18
So,18
Western,18
Noise,18
现实,18
wanna,17
未来,17
一路,16
慢慢,16
注定,16
tag,16
小时候,16
不屑,15
孩子,15
打破,15
世界,15
前方,15
感觉,15
爱人,15
退后,15
nadin,15
homies,14
time,14
录音师,14
信念,14
san,14
