word,frequency
阿克江,99
Akin,93
baby,88
afraid,83
im,69
dont,67
babe,64
wanna,62
love,61
losing,55
girl,48
feel,46
cool,43
lost,41
wait,41
light,38
night,37
ur,37
thing,36
awake,35
give,30
boy,27
heart,25
VISUDY,25
tonight,25
time,24
pain,24
My,23
bad,23
dealing,22
la,22
drink,21
eyes,21
make,21
body,20
rain,20
ve,20
yeah,20
身体,20
burning,19
blue,19
想要,18
die,18
喜欢,18
knew,18
Lost,18
Baby,17
办法,17
Let,17
ah,16
inside,16
AKIN,16
眼睛,15
ride,15
清澈,15
看着,14
falling,14
live,14
soul,14
蓝色,14
也许,14
life,13
ay,13
摇晃,13
NEED,13
YOU,13
美丽,12
吸引,12
hooked,12
dance,12
wow,12
heaven,12
alright,12
beat,12
That,12
Sunny,12
level,12
young,12
狼狈,12
shining,11
Oh,11
一点,11
boom,11
fly,11
mind,11
world,11
back,11
easy,11
爷爷,11
So,11
All,11
patience,11
重复,10
女孩,10
alcohol,10
母带,10
good,10
If,10
worry,10
ill,10
