word,frequency
马思唯,37
friend,30
担心,29
prince,25
wanna,22
young,19
tch,19
money,18
说唱,17
yeah,16
make,16
star,16
blue,16
act,16
The,15
老子,14
good,14
fresh,13
uh,13
mec,13
qui,13
girl,13
ay,13
成都,12
de,12
moi,12
le,12
Young,12
喜欢,11
rap,11
ape,11
feel,10
不用,10
But,10
rapper,10
ck,10
love,9
感觉,9
real,9
All,9
true,8
世界,8
We,8
beat,8
cuz,8
身边,8
care,8
Let,8
hit,8
Yo,8
kidz,8
hoes,8
扎西,8
德勒,8
游戏,7
brothers,7
不想,7
年轻,7
ain,7
ball,7
top,7
baby,6
朋友,6
生活,6
有钱,6
美酒,6
想要,6
Just,6
When,6
hate,6
Les,6
demoiselles,6
recherchent,6
mortel,6
Elles,6
pensent,6
donner,6
des,6
ailes,6
Donc,6
si,6
les,6
crit,6
res,6
babe,6
laisse,6
ton,6
mail,6
代表,6
style,6
录音棚,6
Masiwei,6
Notorious,6
crush,6
兄弟,6
fly,6
rest,6
Walkin,6
em,6
样子,6
