word,frequency
yeah,38
Trouble,36
Ice,32
Tz,28
water,28
抱歉,25
Paper,24
天赐,24
ready,24
race,24
眼里,21
兄弟,19
酷客,19
也许,17
有人,17
wanna,17
Everybody,16
Hate,16
Me,16
money,14
害怕,13
KILL,12
人生,11
身边,11
我会,11
音乐,11
世界,10
变得,10
想要,10
不想,10
寻找,10
不屑,10
面对,10
Yeah,10
现实,9
足够,9
希望,9
自由,9
time,9
不缺,9
Wuh,9
身上,8
像是,8
想起,8
时间,8
生活,8
节奏,8
party,8
速度,8
baby,7
经历,7
拥有,7
眼睛,7
首歌,7
选择,7
感受,7
偷看,7
麻烦,7
感谢,7
混合,7
掌声,7
不到,7
排队,7
turn,7
heart,7
black,7
rain,7
light,7
fire,7
swing,7
离开,6
发现,6
就让,6
留下,6
亲爱,6
那天,6
轻易,6
朋友,6
What,6
看着,6
灵魂,6
困难,6
录音棚,6
专属,6
风格,6
remix,6
people,6
stop,6
永远,6
hand,6
千千万,6
今晚,6
趴着,6
尖叫,6
挡不住,6
势头,6
冲出,6
地球,6
逆流,6
真的,5
