word,frequency
黄旭,123
friday,79
想要,63
feel,63
For,58
真的,56
BooM,44
兄弟,36
生活,36
感觉,36
说唱,35
hustle,33
key,30
键盘,27
bro,26
world,26
一步,26
Don,25
梦想,24
总在,24
Oh,24
砸烂,24
Wade,24
When,23
音乐,23
时间,23
Tell,23
陈令,22
da,22
life,21
母带,21
顺德,21
wait,21
moment,21
Flow,20
real,19
不用,19
安排,19
伤心,19
多久,19
street,19
我要,18
back,18
红色,18
lonely,18
回到,18
day,18
讨论,18
Walking,18
Maybe,18
世界,17
努力,17
妈妈,17
paper,17
champion,17
奔跑,16
寻找,16
Saturday,16
阳光,15
背后,15
Hustle,15
真实,14
嘴里,14
疯狂,14
flow,14
good,14
身体,14
冬天,14
night,14
等待,13
欲望,13
time,13
艺术,13
rap,13
love,13
滴答,13
Everything,13
面对,12
人生,12
故事,12
美丽,12
身边,12
give,12
太多,12
内心,12
people,12
We,12
快给我,12
忘记,11
快乐,11
期待,11
几个,11
女人,11
没人,11
一点,11
幻想,11
不到,11
baby,11
麦克风,11
出发,11
