word,frequency
感谢,59
hey,56
朋友,49
wanna,44
兄弟,43
forever,40
young,40
几个,36
除夕,32
破五,32
呜哈,32
生活,30
time,28
YES,28
back,26
离开,25
红头发,24
剪刀,24
石头,24
事儿,22
Show,22
游戏,21
一种,21
stop,20
NANANANANA,20
friend,19
时间,18
回来,18
hold,17
夜晚,17
喜欢,16
选择,16
这是,16
HIPHOP,16
WHO,16
明天,15
回头,15
late,15
start,15
game,15
DON,15
身边,14
音乐,14
有人,14
YO,14
YOU,14
也许,13
life,13
放下,13
孙旭,13
舍得,13
永远,12
自由,12
享受,12
快乐,12
make,12
活着,12
记住,12
龙井说唱,12
三里,12
兑现,12
说出,12
再见,12
后会有期,12
lucky,12
boy,12
fly,11
sky,11
面儿,11
东西,11
不用,11
比赛,11
套路,11
真的,10
touch,10
慢慢,10
回忆,10
worry,10
dem,10
胡同,10
gotta,10
fight,10
cuz,10
温柔,10
金箍棒,10
高伟然,10
牵着,10
一步,9
high,9
一场,9
太阳,9
几儿,9
时刻,9
十年,9
一路,9
dont,9
就让,9
如意,9
随便,9
财神,9
