word,frequency
ain,926
ya,902
money,706
baby,692
make,631
love,570
back,565
man,543
em,479
ass,444
yeah,427
wanna,422
If,412
The,408
put,387
We,375
time,370
lil,369
Now,351
They,341
hood,340
When,338
Yeah,338
gon,334
hit,329
She,323
bit,313
My,309
But,308
Be,295
girl,285
That,282
hot,279
millionaire,269
head,260
aint,258
give,256
Don,253
So,247
show,246
In,241
club,237
wit,235
good,231
Have,230
gotta,229
run,229
Im,228
What,225
play,219
watch,219
im,216
bout,213
talk,209
Get,209
This,207
Cent,205
life,200
move,196
Cause,196
call,193
Man,186
pop,185
nothin,183
feel,180
Girl,174
ma,173
Look,172
gonna,171
low,169
shot,167
heard,164
Got,164
thang,163
hard,162
hear,161
leave,157
ride,157
stop,156
find,155
stay,153
work,153
uh,152
God,149
high,147
mother,147
Just,146
Your,146
Let,142
New,140
huh,140
gettin,139
homie,138
turn,137
top,136
style,133
told,133
hoes,132
thing,131
See,130
