word,frequency
yeah,262
ain,88
They,86
back,67
gon,67
smoke,62
Yeah,57
We,55
regular,51
Scum,50
6ix9ine,45
hit,45
uh,42
money,40
Baby,39
te,36
em,35
Gang,34
Got,34
gang,33
bands,33
She,30
pull,29
shots,29
make,28
All,28
la,28
block,27
ma,27
na,27
blow,26
If,26
ere,26
dumb,26
drop,25
en,25
bang,24
ta,24
shoot,23
pop,23
pa,23
hands,23
tu,22
se,22
love,21
That,21
couple,21
head,21
lit,21
throwin,21
una,20
Why,20
run,19
boy,19
Who,19
On,19
yo,19
mi,19
qu,19
con,19
ya,18
top,17
Pull,17
Big,17
body,17
stupid,17
de,17
Gotti,17
dance,17
hot,16
move,16
talk,16
huh,16
throw,16
Slumped,16
Let,15
drip,15
baby,15
Don,15
Oh,15
tryna,15
eh,15
el,15
ooh,14
ah,14
bust,14
lil,14
When,14
friends,14
Tell,14
Get,13
fly,13
ass,13
big,13
call,13
wanna,13
Pa,13
mujer,13
siempre,13
floor,12
