word,frequency
ve,32
find,25
ready,19
Come,15
Hey,14
touched,12
awhile,12
Tryna,12
riding,12
Soon,12
That,12
Me,9
time,9
wanna,9
But,9
Like,8
back,8
Baby,8
hope,8
Give,8
We,7
The,7
night,7
girl,7
Then,6
She,6
cool,6
ain,6
baby,6
No,6
make,6
Gotta,6
brave,6
greenlight,6
drop,5
head,5
man,5
wake,5
em,5
stop,5
compel,5
ya,5
Let,4
Cause,4
On,4
stay,4
til,4
gon,4
So,4
Tony,4
Around,4
green,4
long,3
knee,3
home,3
house,3
Wait,3
woman,3
push,3
morning,3
forget,3
hate,3
When,3
fall,3
won,3
moving,3
meet,3
style,3
Lord,3
Got,3
Fall,3
asleep,3
gonna,3
give,2
grow,2
digging,2
archaeologist,2
bones,2
slow,2
songs,2
hormones,2
mix,2
sweat,2
feel,2
drip,2
pecs,2
chest,2
send,2
text,2
jet,2
slippery,2
Memories,2
soaking,2
wet,2
slip,2
slide,2
thighs,2
tight,2
lipped,2
vice,2
