word,frequency
back,104
But,75
Now,57
Boi,52
wanna,51
em,51
ain,50
shake,50
She,49
We,48
night,48
In,48
time,47
Baby,46
Yeah,44
baby,43
South,42
They,40
stop,39
tambourine,38
ya,37
make,36
My,35
yum,35
give,33
rug,33
Patton,32
Big,31
The,31
Antwan,30
Just,30
throws,30
That,29
Let,28
play,28
Cause,27
This,27
Chocolate,27
wit,27
Like,26
roll,26
mouth,26
day,26
All,26
fo,26
girl,25
Grind,25
ass,24
money,24
free,24
cut,24
good,24
man,23
No,23
hear,23
fat,23
hoe,23
daddy,23
gon,23
If,22
hit,22
blow,22
Or,22
Boy,21
Shake,21
love,20
So,20
work,20
Daddy,20
tonight,20
stack,20
sky,19
gotta,19
stay,19
Don,19
drop,19
plan,19
Got,19
la,18
cold,18
head,18
system,18
listenin,18
big,18
game,18
hard,18
Ain,18
sax,18
top,17
playin,17
bout,17
feel,16
What,16
boy,16
mind,16
people,16
club,16
gonna,16
call,16
yo,16
