word,frequency
Pun,126
back,126
ain,118
life,105
The,102
But,85
Big,83
make,72
wanna,69
Punisher,66
em,63
We,60
real,57
That,55
morena,54
yo,53
My,52
Yo,52
ready,50
When,50
player,46
From,46
world,45
money,44
man,41
top,40
ve,40
love,39
Squad,38
So,38
glamour,38
stop,37
face,36
Don,36
roll,35
Satan,35
rhymin,33
ride,33
game,32
death,32
da,32
crew,31
New,31
ya,31
tryin,30
die,30
live,30
blow,30
bad,30
awaken,30
manhood,30
Fakin,30
abomination,30
God,29
leave,29
won,29
In,28
What,28
York,28
kill,27
Terror,27
Boricua,27
boricua,27
With,26
run,26
guns,26
talk,26
lot,26
ass,25
rap,25
head,25
hard,24
killer,24
baby,24
put,24
ghetto,24
Chorus,24
For,24
time,24
mother,24
streets,24
walk,24
There,23
Who,23
give,23
girl,23
thug,23
eyes,22
John,22
Joe,22
ma,22
heart,22
watch,22
Rios,21
Cuban,21
bring,21
She,21
days,21
wife,21
If,21
