word,frequency
Bun,186
We,139
ain,108
ya,91
pimp,74
ma,72
back,71
money,62
This,59
gon,58
Cause,57
gangsta,56
So,55
time,55
underground,52
The,52
good,51
ass,50
wit,50
block,48
made,48
man,47
But,47
real,47
tha,45
give,45
bout,44
Now,43
On,43
Pop,40
em,39
gotta,37
make,37
Got,37
Down,37
Pimp,35
put,35
All,35
talkin,35
baby,34
big,34
trill,33
wanna,32
game,32
Lay,32
day,31
night,31
If,31
What,31
pop,31
My,31
love,29
Draped,29
damn,28
paper,28
dripped,28
They,27
life,27
Trill,27
With,25
run,25
hit,24
mayne,24
That,24
yeah,24
Swang,24
Em,24
unda,24
hoes,23
In,23
grave,23
Ride,23
feel,22
comin,22
dont,21
hoe,21
mother,21
chest,21
represent,21
He,21
hard,20
hood,20
Ain,20
Or,20
bring,19
leave,19
hold,19
steel,19
side,19
im,18
streets,18
round,18
trillionaire,18
yo,17
girl,17
show,17
call,17
Get,17
boy,17
goin,17
