word,frequency
But,182
yo,143
Yo,131
em,130
ain,129
man,128
ya,126
wit,124
back,121
wanna,119
We,117
Cam,110
Killa,108
What,102
girl,98
yeah,98
Get,95
money,92
make,91
love,89
baby,85
Come,81
Now,80
My,79
Who,78
That,76
Cause,74
gonna,72
The,71
gon,71
hit,66
give,66
So,65
No,65
boy,64
ma,63
good,61
Yeah,61
live,61
home,59
time,58
Bo,58
world,57
single,56
day,55
life,54
Don,52
calling,52
game,51
stop,51
nothin,50
Baby,49
head,48
She,47
When,46
put,45
He,44
girls,43
Harlem,43
All,42
ass,42
They,42
call,41
damn,41
If,40
means,40
feel,39
real,39
move,39
top,39
high,39
leave,39
hood,39
Like,38
huh,38
ride,38
Dipset,38
big,37
hoes,37
crack,37
fly,37
hold,36
play,36
Oooh,36
Oh,35
Where,35
movin,35
tha,34
Me,34
chick,34
homicide,34
freak,33
Got,33
Hey,33
kill,33
Let,33
won,33
Lady,33
dog,32
wrong,32
