word,frequency
Cardi,265
yeah,243
girls,175
money,154
bag,151
ain,132
wanna,129
make,119
drippin,107
Yeah,104
girl,95
bad,89
ass,86
drip,82
yay,81
baby,78
love,78
She,76
quiero,75
sh,73
ayy,73
back,70
But,69
es,69
We,68
la,68
trick,64
man,62
Girls,62
finesse,60
gang,60
That,58
If,58
Yo,57
face,56
time,56
Money,56
gon,55
Yay,55
put,54
Who,53
Bust,53
woo,52
uh,50
yo,50
Now,49
They,49
night,49
All,47
kiss,47
ah,46
bust,45
The,44
Oh,44
de,44
ring,44
give,43
When,43
rollin,43
en,42
check,41
So,41
skrrt,41
life,40
good,39
What,38
hoes,38
dinero,38
No,36
goin,36
el,36
pa,36
hit,35
sense,35
Offset,35
Came,35
pop,34
Ayy,34
body,34
upset,34
gettin,34
alright,34
Don,33
play,33
smoke,33
gonna,33
pull,32
bout,31
Let,31
feel,31
call,31
ya,30
safe,30
gotta,30
lo,30
hey,29
te,29
Come,29
Why,28
Cause,28
