word,frequency
yeah,260
We,241
ain,239
love,205
back,186
Christmas,170
bout,159
Yeah,150
time,145
Wala,140
baby,139
But,129
good,129
mama,121
juke,119
So,118
God,112
gon,110
She,110
make,109
lil,108
This,107
That,105
They,103
em,103
gotta,96
wanna,96
jam,95
The,93
na,93
Cam,91
My,89
man,88
Let,86
doo,85
Now,82
ve,81
When,80
smoke,78
single,77
day,75
All,75
night,75
Don,73
ass,72
Oh,72
Merry,71
long,68
What,66
juice,64
big,62
gonna,61
Got,60
feel,60
ooh,59
Cause,57
work,57
give,57
problems,57
left,54
phone,53
talk,53
made,53
friends,52
hit,52
ready,52
Do,52
If,51
Chance,51
step,51
bit,50
talm,50
ma,50
money,49
call,49
hook,48
tryna,48
people,48
thing,48
bag,48
Ooh,48
Can,47
Put,47
stay,46
matter,45
boy,44
home,44
bad,44
show,44
won,44
crazy,44
life,44
forever,44
hey,42
With,42
uh,41
side,41
Hey,41
Like,41
ring,41
