word,frequency
gon,634
give,477
What,427
ain,421
dog,419
The,390
gonna,363
ya,349
em,348
make,344
We,342
But,335
back,304
wit,290
yo,274
stop,272
wanna,258
real,247
life,246
uh,241
If,240
ma,224
All,221
love,215
Now,208
Cause,204
time,200
man,191
dogs,178
That,177
When,175
uhh,175
Get,165
Then,162
hit,160
So,159
ass,157
This,153
They,153
Just,147
cats,139
baby,138
day,137
mother,136
arf,134
goin,133
run,132
gotta,131
put,130
good,130
rain,129
night,122
game,121
long,119
He,119
ve,117
hard,114
find,113
DMX,113
wrong,111
Simmons,111
die,110
Let,109
My,109
Don,109
slippin,107
fallin,106
walk,105
play,102
meet,99
won,99
thing,99
head,99
move,99
streets,98
Ay,98
start,97
mind,97
cuz,96
Oh,96
live,95
money,95
somethin,95
Lord,94
blood,93
Uh,93
gettin,91
stay,89
One,89
huh,89
yeah,88
hood,88
Come,88
GO,87
gots,86
lose,84
feel,84
comin,83
bein,82
es,82
