word,frequency
yeah,778
Yeah,711
love,665
girl,658
man,654
back,637
But,578
wanna,555
ain,555
time,553
make,433
They,432
ve,423
Cause,396
money,393
That,382
We,373
work,370
The,357
em,356
Oh,355
So,333
baby,330
call,311
ya,307
gotta,298
real,297
This,289
She,283
good,282
All,276
My,273
feel,264
boy,262
life,258
give,251
When,250
things,246
bout,244
city,243
put,236
Just,228
thing,228
If,218
Drake,214
night,214
hit,204
gon,204
home,203
Don,187
No,186
made,183
Got,182
Now,181
friends,176
run,170
tryna,162
Like,160
show,158
girls,154
lot,151
big,150
find,149
game,149
Girl,148
guess,147
face,147
What,146
hard,144
mind,143
Can,141
Started,141
long,141
people,139
talk,139
Uh,139
told,136
won,136
hold,134
stay,132
gettin,132
live,132
turn,130
bottom,128
Graham,125
Let,125
Tell,125
Baby,123
play,123
days,121
heart,120
day,120
How,119
talkin,119
bring,117
forever,116
drop,116
To,116
leave,116
dirt,116
